environment | t (second),environment | Nai (mM),environment | v_cyc_nak (per_second)
60.3,60.3,58.0266
60.4,60.4,58.0795
60.5,60.5,58.1324
60.6,60.6,58.1851
60.7,60.7,58.2378
60.8,60.8,58.2903
60.9,60.9,58.3428
61,61,58.3951
61.1,61.1,58.4474
61.2,61.2,58.4995
61.3,61.3,58.5515
61.4,61.4,58.6034
61.5,61.5,58.6553
61.6,61.6,58.707
61.7,61.7,58.7586
61.8,61.8,58.8101
61.9,61.9,58.8615
62,62,58.9128
62.1,62.1,58.9641
62.2,62.2,59.0152
62.3,62.3,59.0662
62.4,62.4,59.1171
62.5,62.5,59.1679
62.6,62.6,59.2186
62.7,62.7,59.2692
62.8,62.8,59.3197
62.9,62.9,59.3702
63,63,59.4205
63.1,63.1,59.4707
63.2,63.2,59.5208
63.3,63.3,59.5709
63.4,63.4,59.6208
63.5,63.5,59.6706
63.6,63.6,59.7204
63.7,63.7,59.77
63.8,63.8,59.8195
63.9,63.9,59.869
64,64,59.9183
64.1,64.1,59.9676
64.2,64.2,60.0168
64.3,64.3,60.0658
64.4,64.4,60.1148
64.5,64.5,60.1637
64.6,64.6,60.2125
64.7,64.7,60.2612
64.8,64.8,60.3098
64.9,64.9,60.3583
65,65,60.4067
65.1,65.1,60.455
65.2,65.2,60.5032
65.3,65.3,60.5514
65.4,65.4,60.5994
65.5,65.5,60.6474
65.6,65.6,60.6952
65.7,65.7,60.743
65.8,65.8,60.7907
65.9,65.9,60.8383
66,66,60.8858
66.1,66.1,60.9332
66.2,66.2,60.9805
66.3,66.3,61.0277
66.4,66.4,61.0749
66.5,66.5,61.1219
66.6,66.6,61.1689
66.7,66.7,61.2158
66.8,66.8,61.2625
66.9,66.9,61.3092
67,67,61.3559
67.1,67.1,61.4024
67.2,67.2,61.4488
67.3,67.3,61.4952
67.4,67.4,61.5414
67.5,67.5,61.5876
67.6,67.6,61.6337
67.7,67.7,61.6797
67.8,67.8,61.7256
67.9,67.9,61.7714
68,68,61.8172
68.1,68.1,61.8628
68.2,68.2,61.9084
68.3,68.3,61.9539
68.4,68.4,61.9993
68.5,68.5,62.0446
68.6,68.6,62.0899
68.7,68.7,62.135
68.8,68.8,62.1801
68.9,68.9,62.2251
69,69,62.27
69.1,69.1,62.3148
69.2,69.2,62.3595
69.3,69.3,62.4042
69.4,69.4,62.4487
69.5,69.5,62.4932
69.6,69.6,62.5376
69.7,69.7,62.582
69.8,69.8,62.6262
69.9,69.9,62.6704
70,70,62.7145
70.1,70.1,62.7585
70.2,70.2,62.8024
70.3,70.3,62.8462
70.4,70.4,62.89
70.5,70.5,62.9337
70.6,70.6,62.9773
70.7,70.7,63.0208
70.8,70.8,63.0642
70.9,70.9,63.1076
71,71,63.1509
71.1,71.1,63.1941
71.2,71.2,63.2372
71.3,71.3,63.2803
71.4,71.4,63.3232
71.5,71.5,63.3661
71.6,71.6,63.4089
71.7,71.7,63.4517
71.8,71.8,63.4943
71.9,71.9,63.5369
72,72,63.5794
72.1,72.1,63.6219
72.2,72.2,63.6642
72.3,72.3,63.7065
72.4,72.4,63.7487
72.5,72.5,63.7908
72.6,72.6,63.8329
72.7,72.7,63.8749
72.8,72.8,63.9168
72.9,72.9,63.9586
73,73,64.0003
73.1,73.1,64.042
73.2,73.2,64.0836
73.3,73.3,64.1251
73.4,73.4,64.1666
73.5,73.5,64.208
73.6,73.6,64.2493
73.7,73.7,64.2905
73.8,73.8,64.3317
73.9,73.9,64.3728
74,74,64.4138
74.1,74.1,64.4547
74.2,74.2,64.4956
74.3,74.3,64.5364
74.4,74.4,64.5771
74.5,74.5,64.6178
74.6,74.6,64.6583
74.7,74.7,64.6988
74.8,74.8,64.7393
74.9,74.9,64.7797
75,75,64.8199
75.1,75.1,64.8602
75.2,75.2,64.9003
75.3,75.3,64.9404
75.4,75.4,64.9804
75.5,75.5,65.0204
75.6,75.6,65.0602
75.7,75.7,65.1
75.8,75.8,65.1398
75.9,75.9,65.1794
76,76,65.219
76.1,76.1,65.2586
76.2,76.2,65.298
76.3,76.3,65.3374
76.4,76.4,65.3767
76.5,76.5,65.416
76.6,76.6,65.4552
76.7,76.7,65.4943
76.8,76.8,65.5333
76.9,76.9,65.5723
77,77,65.6112
77.1,77.1,65.6501
77.2,77.2,65.6889
77.3,77.3,65.7276
77.4,77.4,65.7662
77.5,77.5,65.8048
77.6,77.6,65.8433
77.7,77.7,65.8817
