u_e,v_1
-32.7,45.5309
-32.599999999999994,45.5527
-32.5,45.5744
-32.4,45.5961
-32.300000000000004,45.6177
-32.2,45.6393
-32.099999999999994,45.6609
-32.0,45.6824
-31.9,45.7039
-31.8,45.7254
-31.7,45.7468
-31.6,45.7681
-31.5,45.7894
-31.4,45.8107
-31.3,45.832
-31.2,45.8532
-31.099999999999998,45.8743
-31.0,45.8955
-30.900000000000002,45.9166
-30.8,45.9376
-30.700000000000003,45.9586
-30.599999999999998,45.9796
-30.5,46.0005
-30.4,46.0214
-30.3,46.0422
-30.200000000000003,46.063
-30.099999999999998,46.0838
-30.0,46.1045
-29.9,46.1252
-29.8,46.1459
-29.7,46.1665
-29.6,46.1871
-29.5,46.2076
-29.4,46.2281
-29.3,46.2485
-29.2,46.269
-29.1,46.2893
-29.0,46.3097
-28.9,46.33
-28.8,46.3503
-28.7,46.3705
-28.6,46.3907
-28.5,46.4108
-28.400000000000002,46.4309
-28.299999999999997,46.451
-28.2,46.471
-28.1,46.491
-28.0,46.511
-27.900000000000002,46.5309
-27.799999999999997,46.5508
-27.7,46.5707
-27.599999999999998,46.5905
-27.5,46.6103
-27.400000000000002,46.63
-27.3,46.6497
-27.2,46.6694
-27.099999999999998,46.689
-27.0,46.7086
-26.9,46.7281
-26.8,46.7476
-26.700000000000003,46.7671
-26.599999999999998,46.7866
-26.5,46.806
-26.4,46.8253
-26.3,46.8447
-26.200000000000003,46.864
-26.1,46.8832
-26.0,46.9025
-25.9,46.9216
-25.8,46.9408
-25.7,46.9599
-25.6,46.979
-25.5,46.998
-25.4,47.017
-25.3,47.036
-25.2,47.055
-25.1,47.0739
-25.0,47.0927
-24.9,47.1116
-24.8,47.1304
-24.7,47.1491
-24.6,47.1678
-24.5,47.1865
-24.400000000000002,47.2052
-24.299999999999997,47.2238
-24.2,47.2424
-24.1,47.2609
-24.0,47.2795
-23.900000000000002,47.2979
-23.8,47.3164
-23.7,47.3348
-23.599999999999998,47.3532
-23.5,47.3715
-23.400000000000002,47.3898
-23.3,47.4081
-23.2,47.4263
-23.099999999999998,47.4446
-23.0,47.4627
-22.9,47.4809
-22.8,47.499
-22.700000000000003,47.517
-22.599999999999998,47.5351
-22.5,47.5531
-22.4,47.571
-22.3,47.589
-22.2,47.6069
-22.1,47.6247
-22.0,47.6426
-21.9,47.6604
-21.8,47.6781
-21.7,47.6959
-21.6,47.7136
-21.5,47.7312
-21.4,47.7489
-21.3,47.7665
-21.2,47.7841
-21.1,47.8016
-21.0,47.8191
-20.9,47.8366
-20.8,47.854
-20.7,47.8714
-20.6,47.8888
-20.5,47.9061
-20.400000000000002,47.9234
-20.299999999999997,47.9407
-20.2,47.9579
-20.1,47.9752
-20.0,47.9923
-19.900000000000002,48.0095
-19.8,48.0266
-19.7,48.0437
-19.599999999999998,48.0607
-19.5,48.0778
-19.400000000000002,48.0947
-19.3,48.1117
-19.2,48.1286
-19.099999999999998,48.1455
-19.0,48.1624
-18.9,48.1792
-18.8,48.196
-18.700000000000003,48.2128
-18.599999999999998,48.2295
-18.5,48.2462
-18.4,48.2629
-18.3,48.2796
-18.2,48.2962
-18.1,48.3128
-18.0,48.3293
-17.9,48.3458
-17.8,48.3623
-17.7,48.3788
-17.6,48.3952
-17.5,48.4116
-17.4,48.428
-17.3,48.4444
-17.2,48.4607
-17.1,48.477
-17.0,48.4932
-16.9,48.5094
-16.8,48.5256
-16.7,48.5418
-16.6,48.5579
-16.5,48.574
-16.400000000000002,48.5901
-16.299999999999997,48.6062
-16.2,48.6222
-16.1,48.6382
-16.0,48.6542
-15.9,48.6701
-15.8,48.686
-15.7,48.7019
-15.6,48.7177
-15.5,48.7335
-15.4,48.7493
-15.299999999999999,48.7651
-15.2,48.7808
-15.100000000000001,48.7965
-15.0,48.8122
-14.9,48.8278
-14.8,48.8435
-14.7,48.8591
-14.6,48.8746
-14.5,48.8902
-14.4,48.9057
-14.3,48.9211
-14.200000000000001,48.9366
-14.1,48.952
-14.0,48.9674
-13.899999999999999,48.9828
-13.799999999999999,48.9981
-13.700000000000001,49.0134
-13.6,49.0287
-13.5,49.044
-13.4,49.0592
-13.299999999999999,49.0744
-13.2,49.0896
-13.100000000000001,49.1047
-13.0,49.1199
-12.9,49.135
-12.8,49.15
-12.7,49.1651
-12.6,49.1801
-12.5,49.1951
-12.4,49.21
-12.3,49.225
-12.200000000000001,49.2399
-12.1,49.2548
-12.0,49.2696
-11.9,49.2844
-11.799999999999999,49.2992
-11.700000000000001,49.314
-11.6,49.3288
-11.5,49.3435
-11.4,49.3582
-11.299999999999999,49.3728
-11.2,49.3875
-11.1,49.4021
-11.0,49.4167
-10.9,49.4313
-10.8,49.4458
-10.7,49.4603
-10.6,49.4748
-10.5,49.4893
-10.4,49.5037
-10.3,49.5181
-10.200000000000001,49.5325
-10.1,49.5469
-10.0,49.5612
-9.9,49.5755
-9.799999999999999,49.5898
-9.700000000000001,49.6041
-9.6,49.6183
-9.5,49.6325
-9.4,49.6467
-9.299999999999999,49.6609
-9.2,49.675
-9.1,49.6891
-9.0,49.7032
-8.9,49.7173
-8.8,49.7313
-8.7,49.7453
-8.6,49.7593
-8.5,49.7733
-8.4,49.7872
-8.3,49.8011
-8.200000000000001,49.815
-8.1,49.8289
-8.0,49.8427
-7.9,49.8566
-7.8,49.8704
-7.7,49.8841
-7.6,49.8979
-7.5,49.9116
-7.4,49.9253
-7.3,49.939
-7.2,49.9527
-7.1000000000000005,49.9663
-7.0,49.9799
-6.8999999999999995,49.9935
-6.8,50.0071
-6.7,50.0206
-6.6,50.0341
-6.5,50.0476
-6.4,50.0611
